Age,Weight_kg,target_derm,age_squared,weight_zscore_by_breed,age_weight_interaction,breed_is_other,is_vaccinated,has_parasite_history,has_chronic_illness,has_allergies,has_skin_history,has_heart_history,has_dental_issues,has_kidney_history,has_surgery_history,no_previous_conditions,chronic_conditions_count,has_fever,has_diarrhea,has_weight_loss,has_pain,has_coughing,has_lethargy,has_weakness,has_vomiting,has_anorexia,has_sneezing,has_pains,has_loss_of_appetite,has_death,has_depression,has_lameness,has_nasal_discharge,has_uteria_inertia,has_fetopelvic_dispropotion,has_malpresentation,has_swelling,has_blindness,has_dehydration,has_dyspnea,has_difficulty_in_breathing,has_dullness,has_poor_appetite,has_skin_rashes,has_difficulty_breathing,has_emaciation,has_ruffled_feathers,gi_symptoms_count,respiratory_symptoms_count,systemic_symptoms_count,neurological_symptoms_count,dermatological_symptoms_count,total_symptoms_count,fever_and_diarrhea,fever_and_vomiting,weightloss_and_anorexia,pain_and_vomiting,coughing_and_sneezing,weakness_and_weightloss,breed_grouped_beagle,breed_grouped_boxer,breed_grouped_bulldog,breed_grouped_german shepherd,breed_grouped_golden retriever,breed_grouped_labrador retriever,breed_grouped_mixed breed,breed_grouped_poodle,breed_grouped_rottweiler,breed_grouped_yorkshire terrier,age_bucket_puppy,age_bucket_adult,age_bucket_senior,ruta_imagen
5.8,22.9,1,33.64,-1.7872721849593989,132.82,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,train\Dermatitis\May-is-allergy-awareness-month-here-at-The-Shot-Spot_01456_jpg.rf.17198e54226f8cb412a3969c4e67134d.jpg
9.4,3.8,1,88.36000000000001,-1.1749468681390365,35.72,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,5,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,train\Dermatitis\1000011971_x4_jpg.rf.8cc46bae14acb02f39f2dea081f06a41.jpg
1.8,4.4,1,3.24,-0.9307564420534404,7.920000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,5,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,True,False,train\Hypersensitivity\Hypersensitivity_2_jpg.rf.a441e4b91dc1032f7e7e895deb8b3ae3.jpg
8.2,4.4,1,67.24,-0.9307564420534404,36.08,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,train\Hypersensitivity\B9781416056638000070_f007-010-9781416056638_jpg.rf.8d64ba53c497f0a7bef5dacce2494e10.jpg
14.6,8.0,0,213.16,0.919235678275581,116.8,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,5,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,train\Healthy\dogs_084_jpg.rf.8091ecac65c89d1d86d73668a3c5409f.jpg
1.4,36.7,0,1.96,0.2116773950492622,51.38,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,train\Healthy\dogs_025_jpg.rf.8cd028c7260e0d874713112b9cf6b638.jpg
1.5,30.0,1,2.25,1.6893281456021954,45.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,train\Dermatitis\May-is-allergy-awareness-month-here-at-The-Shot-Spot_00085_jpg.rf.abe6b8cdd96cd31c31b13cc4c4f8ebe3.jpg
8.8,31.2,1,77.44000000000001,-0.7306476503432208,274.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,5,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,train\ringworm\ringworm-133-_jpg.rf.65d3bb76633d9b7d30771d4ad5ba4eb0.jpg
2.6,5.5,0,6.760000000000001,-0.2998759088698908,14.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,train\Healthy\dogs_001_jpg.rf.316a5b99cedba51cafb78a5653356d7e.jpg
6.1,36.9,0,37.21,0.3582137669559034,225.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,train\Healthy\HEALTHY_036_jpg.rf.c80e5faf67b6c3b34c7384d2c6e3bfe2.jpg
