AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,MedicalHistory_norm,Symptom_1_norm,Symptom_2_norm,Symptom_3_norm,Symptom_4_norm,Symptom_5_norm,target_derm
dog,rottweiler,6.0,32.1,chronic illness,anorexia,hydrophobia,drooping ears,diarrhea,shyness or aggression,chronic illness,anorexia,hydrophobia,drooping ears,diarrhea,shyness or aggression,0
dog,bulldog,9.9,18.5,vaccinated,lethargy,weakness,horny growth,fever,coughing,vaccinated,lethargy,weakness,horny growth,fever,coughing,0
dog,beagle,13.9,18.9,parasite history,pain,weight loss,weight loss,sneezing,drop on egg production,parasite history,pain,weight loss,weight loss,sneezing,drop in egg production,0
dog,mixed breed,4.2,13.4,chronic illness,weakness,diarrhea,weight loss,diarrhea,weight loss,chronic illness,weakness,diarrhea,weight loss,diarrhea,weight loss,0
dog,boxer,2.6,27.6,dental issues,indigestion,abdminal pain,constipation,diarrhea,nausea,dental issues,indigestion,abdominal pain,constipation,diarrhea,nausea,0
dog,yorkshire terrier,12.4,3.8,previous heart condition,weakness,weight loss,muscle twiching,shivering,vomiting,previous heart condition,weakness,weight loss,muscle twitching,shivering,vomiting,1
dog,beagle,1.7,16.2,allergies,fever,loss of  appetite,reduce energy,lameness,swelling of joints,allergies,fever,loss of appetite,reduce energy,lameness,swelling of joints,0
dog,golden retriever,11.4,38.4,skin conditions history,weakness,pain,vomiting,pain,shaking head,skin conditions history,weakness,pain,vomiting,pain,shaking head,1
dog,yorkshire terrier,11.0,5.1,parasite history,vomiting,pain,fever,weight loss,anorexia,parasite history,vomiting,pain,fever,weight loss,anorexia,0
dog,beagle,7.6,23.6,vaccinated,abortion on late pregancy,stillbirth,retained placenda,endomeritis,decrease appetite,vaccinated,abortion on late pregancy,stillbirth,retained placenda,endomeritis,decrease appetite,0
dog,boxer,0.9,29.8,chronic illness,swollen,red-colored,hot udder,milk getting out more watery,milk getting out more thick,chronic illness,swollen,red-colored,hot udder,milk getting out more watery,milk getting out more thick,0
