AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
dog,rottweiler,6.0,32.1,chronic illness,anorexia,hydrophobia,drooping ears,diarrhea,shyness or aggression
dog,bulldog,9.9,18.5,vaccinated,lethargy,weakness,horny growth,fever,coughing
dog,beagle,13.9,18.9,parasite history,pain,weight loss,weight loss,sneezing,drop on egg production
dog,mixed breed,4.2,13.4,chronic illness,weakness,diarrhea,weight loss,diarrhea,weight loss
dog,boxer,2.6,27.6,dental issues,indigestion,abdminal pain,constipation,diarrhea,nausea
dog,yorkshire terrier,12.4,3.8,previous heart condition,weakness,weight loss,muscle twiching,shivering,vomiting
dog,beagle,1.7,16.2,allergies,fever,loss of  appetite,reduce energy,lameness,swelling of joints
dog,golden retriever,11.4,38.4,skin conditions history,weakness,pain,vomiting,pain,shaking head
dog,yorkshire terrier,11.0,5.1,parasite history,vomiting,pain,fever,weight loss,anorexia
dog,beagle,7.6,23.6,vaccinated,abortion on late pregancy,stillbirth,retained placenda,endomeritis,decrease appetite
dog,boxer,0.9,29.8,chronic illness,swollen,red-colored,hot udder,milk getting out more watery,milk getting out more thick
dog,golden retriever,9.1,37.2,vaccinated,discharge from eyes,blindness,scartches,redness of eye,pains
dog,poodle,3.3,4.5,recent surgery,excessive blood loss,dizziness and fainting,blurry vision,watery eyes,slow growth
dog,bulldog,5.4,15.0,no previous conditions,weakness,weight loss,lethargy,weakness,lethargy
dog,rottweiler,2.8,25.0,dental issues,weight loss,fever,fever,vomiting,fever
dog,boxer,9.2,24.1,dental issues,weight loss,fever,pain,poor immune function,inflammed eye
dog,beagle,12.1,21.0,previous kidney disease,stand with head droping,weight loss,fever,abnormal behaviour,pneumonia
dog,yorkshire terrier,13.2,7.3,allergies,fever,loss of appetite,depression,loss of appetite,pains
dog,bulldog,6.7,15.0,allergies,sneezing,coughing,diarrhea,retarded growth,weakness
dog,beagle,14.6,29.7,previous heart condition,weakness,anorexia,anorexia,pain,shivering
dog,boxer,2.7,27.9,not vaccinated,restless movement,weakness,decreased stool production,heavy breathing,distended stomach
dog,yorkshire terrier,13.5,4.4,previous heart condition,lethargy,loss of appetite,swelling,nasal discharge,blindness
dog,mixed breed,4.5,27.5,skin conditions history,enteritis,weight loss,halitosis,air sacculitis,coughing
dog,boxer,14.0,16.8,parasite history,loss of eat,weakness,sneezing,pain,fever
dog,yorkshire terrier,8.7,8.8,recent surgery,pain,weakness,difficulty breating,coughing,pain
dog,rottweiler,4.1,36.3,skin conditions history,sneezing,coughing,fever,weakness,coughing
dog,rottweiler,5.3,25.4,allergies,labored breathing,dyspnea,coughing,depression,anorexia
dog,german shepherd,5.3,43.6,not vaccinated,fever,fever,weakness,coughing,nasal
dog,mixed breed,2.4,10.9,recent surgery,barren ewes,abortion,poor conformation,hairy fleeces,weight loss
dog,beagle,9.2,32.3,recent surgery,redness,pains,trachea,scabs on feet,thickening of skin
dog,bulldog,8.7,21.1,allergies,abdominal discomfort,anorexia,milky hard,pain,sneezing
dog,boxer,15.0,20.5,dental issues,diarrhea,weight loss,lethargy,succumb,pain
dog,bulldog,8.5,22.4,skin conditions history,blindness,distinctive bumps,facial swelling,stunted growth,egg production decreases
dog,yorkshire terrier,15.5,4.3,not vaccinated,discomfort,diarrhea,dry or dull hair,grinding teeth,pain
dog,rottweiler,0.5,28.2,vaccinated,anorexia,fever,weight loss,coughing,pain
dog,yorkshire terrier,4.6,6.4,previous heart condition,thivk skin,excessive eye watering,coughing,aggressiveness,sneezing
dog,mixed breed,13.9,16.4,not vaccinated,difficulty swallowing,cough,difficulty swallowing,gasping for air,extending its neck
dog,poodle,4.3,7.7,no previous conditions,eyeproblem,weight loss,sneezing,weakness,reduce lamp marking
dog,poodle,9.9,3.9,no previous conditions,coughing,pain,deability,eyeproblem,pain
dog,rottweiler,1.2,29.5,chronic illness,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness
dog,yorkshire terrier,7.7,10.0,vaccinated,coughing,diarrhea,sneezing,diarrhea,excession salivation
dog,german shepherd,8.0,35.8,vaccinated,fever,sour throat,mortality,muscle aches,abnormalities
dog,rottweiler,4.0,37.9,skin conditions history,weight loss,urine retention,fever,sudden death,convulsion
dog,boxer,8.2,24.1,previous kidney disease,anorexia,fell unwell,flatulence,anorexia,coughing
dog,boxer,10.0,19.9,allergies,diarrhea,limp,pain,anorexia,weight loss
dog,labrador retriever,8.0,35.2,dental issues,unable to exercise,fever,anorexia,tensemus,pain
dog,german shepherd,9.7,45.0,allergies,coughing,halitosis,enteritis,air sacculitis,weight loss
dog,bulldog,10.2,26.3,allergies,cough,gasping for air,weight loss,gasping for breath,extending its neck
dog,boxer,0.5,17.0,chronic illness,sneezing,pain,crusty eye lashes and matting of eyelashes,anorexia,vomiting
dog,bulldog,6.8,18.8,not vaccinated,nuerological,loss of appetite,fever,eyeproblem,liver disease
dog,labrador retriever,9.9,24.7,recent surgery,emaciation,loss in weight,loss of appetite,weakness,diarrhoea
dog,yorkshire terrier,8.0,6.0,recent surgery,haemorrhage,straw colored,abdominal pain,death,carcass decomposes
dog,yorkshire terrier,8.6,6.0,skin conditions history,diffuse,diarrhea,scartch,pain,vomiting
